"","kdrama_name","platform"
"998","Moorim School: Saga of the Brave","Viki"
"1000","More Than Friends","Disney Hotstar"
"1001","More Than Friends","Hulu"
"1002","More Than Friends","Viki"
"1003","More Than Friends","WeTV"
"1004","More Than Friends","Netflix"
"1007","Mouse","Viki"
"1008","Mouse","WeTV"
"1009","Mouse","Apple TV"
"1010","Mouse","TVING"
"1011","Move to Heaven","Netflix"
"1013","Mr. Back","Viki"
"1015","Mr. Queen","Prime Video"
"1016","Mr. Queen","Hulu"
"1017","Mr. Queen","Viki"
"1018","Mr. Sunshine","Netflix"
"1019","Mrs. Cop","SBS World"
"1020","Mrs. Cop","Viki"
"1021","Mrs. Cop","SBS VOD"
"1022","Mrs. Cop","Apple TV"
"1023","Mrs. Cop 2","Viki"
"1024","Mrs. Cop 2","Apple TV"
"1025","Ms. Hammurabi","Viki"
"1026","Ms. Hammurabi","WeTV"
"1027","Ms. Ma, Nemesis","Apple TV"
"1028","Ms. Ma, Nemesis","Viki"
"1029","Ms. Perfect","Viki"
"1030","My Absolute Boyfriend","Viki"
"1031","My Absolute Boyfriend","Apple TV"
"1032","My Absolute Boyfriend","Hulu"
"1035","My Contracted Husband, Mr. Oh","Viki"
