"행정구역별(읍면동)","연령별","항목","단위","2021 년",
"광진구","15~64세","총인구_여자(명)","","138412",
"광진구","65세이상","총인구(명)","","50562",
"광진구","65세이상","총인구_남자(명)","","22657",
"광진구","65세이상","총인구_여자(명)","","27905",
"광진구","85세이상","총인구(명)","","3857",
"광진구","85세이상","총인구_남자(명)","","1186",
"광진구","85세이상","총인구_여자(명)","","2671",
"광진구","평균연령","총인구(명)","","42.5",
"광진구","평균연령","총인구_남자(명)","","42",
"광진구","평균연령","총인구_여자(명)","","42.9",
"광진구","중위연령","총인구(명)","","41.5",
"광진구","중위연령","총인구_남자(명)","","41.1",
"광진구","중위연령","총인구_여자(명)","","41.8",
"동대문구","합계","총인구(명)","","348201",
"동대문구","합계","총인구_남자(명)","","169409",
"동대문구","합계","총인구_여자(명)","","178792",
"동대문구","0~4세","총인구(명)","","8800",
"동대문구","0~4세","총인구_남자(명)","","4462",
"동대문구","0~4세","총인구_여자(명)","","4338",
"동대문구","5~9세","총인구(명)","","10630",
"동대문구","5~9세","총인구_남자(명)","","5480",
"동대문구","5~9세","총인구_여자(명)","","5150",
"동대문구","10~14세","총인구(명)","","10424",
"동대문구","10~14세","총인구_남자(명)","","5373",
"동대문구","10~14세","총인구_여자(명)","","5051",
"동대문구","15~19세","총인구(명)","","13267",
"동대문구","15~19세","총인구_남자(명)","","6310",
"동대문구","15~19세","총인구_여자(명)","","6957",
"동대문구","20~24세","총인구(명)","","34611",
"동대문구","20~24세","총인구_남자(명)","","14812",
"동대문구","20~24세","총인구_여자(명)","","19799",
"동대문구","25~29세","총인구(명)","","34193",
"동대문구","25~29세","총인구_남자(명)","","17529",
"동대문구","25~29세","총인구_여자(명)","","16664",
"동대문구","30~34세","총인구(명)","","25602",
"동대문구","30~34세","총인구_남자(명)","","13095",
"동대문구","30~34세","총인구_여자(명)","","12507",
"동대문구","35~39세","총인구(명)","","24673",
"동대문구","35~39세","총인구_남자(명)","","12682",
"동대문구","35~39세","총인구_여자(명)","","11991",
"동대문구","40~44세","총인구(명)","","24282",
"동대문구","40~44세","총인구_남자(명)","","12575",
"동대문구","40~44세","총인구_여자(명)","","11707",
"동대문구","45~49세","총인구(명)","","23928",
"동대문구","45~49세","총인구_남자(명)","","12223",
"동대문구","45~49세","총인구_여자(명)","","11705",
"동대문구","50~54세","총인구(명)","","26451",
"동대문구","50~54세","총인구_남자(명)","","13093",
"동대문구","50~54세","총인구_여자(명)","","13358",
"동대문구","55~59세","총인구(명)","","24680",
"동대문구","55~59세","총인구_남자(명)","","12361",
"동대문구","55~59세","총인구_여자(명)","","12319",
"동대문구","60~64세","총인구(명)","","26047",
"동대문구","60~64세","총인구_남자(명)","","12517",
"동대문구","60~64세","총인구_여자(명)","","13530",
"동대문구","65~69세","총인구(명)","","20570",
"동대문구","65~69세","총인구_남자(명)","","9767",
"동대문구","65~69세","총인구_여자(명)","","10803",
"동대문구","70~74세","총인구(명)","","14991",
"동대문구","70~74세","총인구_남자(명)","","6853",
"동대문구","70~74세","총인구_여자(명)","","8138",
"동대문구","75~79세","총인구(명)","","12046",
"동대문구","75~79세","총인구_남자(명)","","5287",
"동대문구","75~79세","총인구_여자(명)","","6759",
